INFINYTECH3D;83773678400013;837736784;62.02A;;;06088
TESTMOATOUT;83480751300017;834807513;62.02A;;;93049
DIGITAL DATA CONCEPT;83277608200014;832776082;62.02A;2019;01;91589
MAJOR TOM;83204154500019;832041545;62.02A;2019;02;92051
SUNLOG TARGET;83094058100010;830940581;62.02A;;;92050
SUNLOG FORMATION;82868217900019;828682179;62.02A;;;92050
ENOVATION;82453111500015;824531115;62.02A;2019;02;33162
HR CONSULTING;82448171700034;824481717;62.02A;;;59017
DEWHURST SECURITY;82419834500020;824198345;62.02A;2019;01;64545
AKRIDISS CONSULTING;82267546800018;822675468;62.02A;;;92072
KERYAN PARTNERS;81999330400024;819993304;62.02A;2019;01;75117
TECHNOLOGIES & OPERATIONS;81902897800016;819028978;62.02A;2019;22;92044
LUCEKA;81822863700018;818228637;62.02A;2019;01;13208
;81453622300013;814536223;62.02A;;;97414
FADIO IT;81202484200013;812024842;62.02A;2019;03;13005
CNW-ME MIDDLEWARE EXPERTS;81099546400015;810995464;62.02A;2019;01;93050
;80540616200026;805406162;62.02A;;;75115
;80128068600024;801280686;62.02A;;;69275
MD6 CONSULTING;80022011300032;800220113;62.02A;;;75108
SUPPLY CHAIN R & D;75259184200014;752591842;62.02A;2019;02;13203
CLOUZ'IT;75055084000037;750550840;62.02A;2019;01;06152
OPENDATASOFT;53816832900026;538168329;62.02A;2019;21;75115
COM SI CONSULTING;53279011000011;532790110;62.02A;;;94080
GROUPE THYM BUSINESS;53211705800034;532117058;62.02A;;;87085
ATLASSIAN FRANCE;51540171900031;515401719;62.02A;2019;02;75101
CYANEO;51003177600014;510031776;62.02A;2019;01;31149
THYM BUSINESS;50966751500142;509667515;62.02A;;;49007
NOVATIA;49884381200047;498843812;62.02A;;;31273
ACSEP SOFTWARE;49527284100042;495272841;62.02A;2019;11;84007
;48913816400046;489138164;62.02A;;;85301
V02 GROUP;48077379500046;480773795;62.02A;2019;11;75109
AUDIT CONS MAINTENANCE SECURITE INFOR;45156633500043;451566335;62.02A;2019;02;34172
OM CONSEIL;44912339700068;449123397;62.02A;;;92064
OM CONSEIL;44912339700050;449123397;62.02A;;;78646
NINTENDO EUROPEAN RESEARCH AND DEVELOPMENT;44799344500041;447993445;62.02A;;;75102
CLICZONE;44337679300040;443376793;62.02A;2019;11;75115
D2M SOLUTIONS;44102543400016;441025434;62.02A;;NN;92062
INFORMATIQUE, SUPERVISION, AUTOMATISME, TECHNIQUE ISATEC;43536549900019;435365499;62.02A;;NN;60057
WE +;43410023600109;434100236;62.02A;;;51454
TAGPRODUCT;42345498200046;423454982;62.02A;2019;03;69072
SMART TRADE TECHNOLOGIES;42166377400071;421663774;62.02A;2019;22;13001
CONSORT FRANCE;41882765500097;418827655;62.02A;2019;42;75117
SARL CCII INFO;41438284600023;414382846;62.02A;2019;01;06088
CONIX;41359815200093;413598152;62.02A;2019;22;92040
APE CONSEIL;38274159300059;382741593;62.02A;2019;11;69286
TMD TIGEST MARKETING DIRECT;38026106500052;380261065;62.02A;2019;02;75118
SOCIETE D'INVESTISSEMENTS ET DE SERVICES;33964722400064;339647224;62.02A;;;66136
SODELOR;33457953900043;334579539;62.02A;2019;01;90010
XEFI DOLE - GERMOND;31036997000069;310369970;62.02A;2019;12;39198
;91070130900015;910701309;62.02A;;;44109
;91067975200014;910679752;62.02A;;;69382
;91067545300013;910675453;62.02A;;;75101
;91067471200013;910674712;62.02A;;;75119
;91067395300014;910673953;62.02A;;;13205
;91067293000013;910672930;62.02A;;;15038
;91067271600016;910672716;62.02A;;;66115
;91067263300013;910672633;62.02A;;;33318
;91067177500013;910671775;62.02A;;;97304
;91067044700010;910670447;62.02A;;;91377
;91067042100015;910670421;62.02A;;;91201
;91067011600011;910670116;62.02A;;;95323
;91066996900016;910669969;62.02A;;;78358
AMBARIT CONSULTING;91061254800016;910612548;62.02A;;;93070
E-BATI;91060961900010;910609619;62.02A;;;75116
BL DATA CONSEIL;91060959300017;910609593;62.02A;;;75116
2SYLAB CONSULTING;91060958500013;910609585;62.02A;;;75118
CRIT-CONSULTING;91060352100014;910603521;62.02A;;;33517
E-CRAFTARCH;91060112900018;910601129;62.02A;;;33449
VRISE;91060011300013;910600113;62.02A;;;78423
JDK INFORMATIQUE;91059881200014;910598812;62.02A;;;77014
SYMETRA;91059838200018;910598382;62.02A;;;75108
2SCONSEILS;91058185900014;910581859;62.02A;;;13203
YAMPA MEDIA;91058117200012;910581172;62.02A;;;75118
DYGYTAL CONSULTING;91057980400014;910579804;62.02A;;;79003
GUARDLINE CYBERDEFENSE;91057867300014;910578673;62.02A;;;69383
ARN CONSULTING;91056618100012;910566181;62.02A;;;69096
X PROJETS;91052378600010;910523786;62.02A;;;26064
SOLVIDEC TECHNOLOGY;91014386600010;910143866;62.02A;;;94028
NEOLYSS IT;91004437900014;910044379;62.02A;;;95018
ESERENIT;90993794800018;909937948;62.02A;;;69381
ARCHICLOUD-TECHNET;90948627600019;909486276;62.02A;;;75108
IMINETI;90520447500040;905204475;62.02A;;;44109
;90343474400012;903434744;62.02A;;;92007
;90257022500018;902570225;62.02A;;;75107
BREENTAL;90173650400019;901736504;62.02A;;;33199
ALL 4 DIGITAL;90079369600023;900793696;62.02A;;;74010
;89978890500011;899788905;62.02A;;;02543
;89297360300012;892973603;62.02A;;;75118
OPALE SYSTEMS;89245215200028;892452152;62.02A;;;78640
DIGILUX;89032936000014;890329360;62.02A;;;86157
CHRONOSHARP;88963785600028;889637856;62.02A;;;29019
ONBOARDING DIGITAL;88946170300015;889461703;62.02A;;;75108
;88756685900013;887566859;62.02A;;;77257
ONI TECH;88309173800012;883091738;62.02A;;;59653
PJ IT SERVICES;88229721100014;882297211;62.02A;;;06004
NIVEAU 26;88161092700017;881610927;62.02A;;;02098
AGOS;88048156900015;880481569;62.02A;;;75108
CONSILIA-DATA;88020521600034;880205216;62.02A;;;75119
FLG CONCEPT;88011822900033;880118229;62.02A;;;91174
MAGHEN;87840260100024;878402601;62.02A;;;13214
PLUTO INFORMATICS;87832210600021;878322106;62.02A;;;78401
CRAFTMEDIA SERVICES;84944001100013;849440011;62.02A;;;75107
KEYTO CONSULTING;84393145200026;843931452;62.02A;;;75108
NEXUS ET ASSOCIES FRANCE;84045877200018;840458772;62.02A;;;75101
INTECH CONSULTING;84030961100027;840309611;62.02A;;;92004
WAVEN CONSULTING;83532894900028;835328949;62.02A;;;38544
CLEVERHYS;83156886000017;831568860;62.02A;;;93048
NERIS II;83144590300014;831445903;62.02A;2019;01;06018
;83119725600033;831197256;62.02A;;;78172
INNOV'ON CONSULTING;83115127900039;831151279;62.02A;;;94046
LCM CONSULTING SAS;83092527700014;830925277;62.02A;2019;01;69385
O DIGITAL;82993537800028;829935378;62.02A;;;04152
MG CONSULTING;82407973500026;824079735;62.02A;;;94038
;82295842700012;822958427;62.02A;;;94081
2MD CONSULTING;81791662000013;817916620;62.02A;2019;01;92022
ILS CONSULTING;81430566000015;814305660;62.02A;;;75106
;80516695600013;805166956;62.02A;;;69193
PLAYR;80420708200012;804207082;62.02A;2019;03;75119
MATRICS;80371231400043;803712314;62.02A;;;31555
POSTERITY CONSEILS;80223862600039;802238626;62.02A;;;35125
;79310981000010;793109810;62.02A;;;94004
MYCOMPANYFILES;53768765900038;537687659;62.02A;;;75115
JFO SOFTWARE;53389135400011;533891354;62.02A;2019;01;78096
;53377444400012;533774444;62.02A;;;92032
GROUPE THYM BUSINESS;53211705800109;532117058;62.02A;;;75115
NTICO SERVICES;52080212500036;520802125;62.02A;2019;12;59009
;51974913900027;519749139;62.02A;;;51551
CS NOVIDY'S;51105500600072;511055006;62.02A;;;59350
;51081517800015;510815178;62.02A;;;95203
THYM BUSINESS;50966751500068;509667515;62.02A;2019;12;10387
YE SOLUTIONS SASU;50171609600034;501716096;62.02A;;;59350
;49961318000060;499613180;62.02A;;;78642
YOUTRANSACTOR;49120850000034;491208500;62.02A;2019;12;75115
;48525804000024;485258040;62.02A;;;43211
ALTELIOS;48006126600072;480061266;62.02A;;;92012
24-7;47791420400037;477914204;62.02A;2019;02;38140
EMATISS;44277938500040;442779385;62.02A;2019;00;75103
ECLEO;43527588800095;435275888;62.02A;;;92012
WE +;43410023600083;434100236;62.02A;;;29019
FRANCE COMPUTER SUPPORT;41510024700022;415100247;62.02A;;NN;95042
WCOM;40869048500029;408690485;62.02A;2019;00;10362
OPEN CONSEIL IT;39388983700034;393889837;62.02A;2019;03;77058
;39069530200039;390695302;62.02A;;NN;89337
;91065454000012;910654540;62.02A;;;75114
;91065427600013;910654276;62.02A;;;94038
;91065407800013;910654078;62.02A;;;95369
PHENYLETHYLAMINE;91069669900016;910696699;62.02A;;;13208
DIGITAL FACTORIES;91066483800018;910664838;62.02A;;;75117
TRINQU'ON CONSULTING;91066262600019;910662626;62.02A;;;94043
JH CONSULT;91066052100014;910660521;62.02A;;;75119
SMOOTH DESIGN;91064947400012;910649474;62.02A;;;78311
AHMED BEN ARBIA SASU;91064761900014;910647619;62.02A;;;78481
HENROD CONSULTING;91064618100016;910646181;62.02A;;;94034
;91065262700019;910652627;62.02A;;;92050
;91065258500019;910652585;62.02A;;;92023
;91065227000018;910652270;62.02A;;;38169
;91065186800010;910651868;62.02A;;;95268
;91065183500019;910651835;62.02A;;;95127
;91065160300011;910651603;62.02A;;;92050
;91065101700014;910651017;62.02A;;;78498
;91065070400018;910650704;62.02A;;;94041
;91065063900016;910650639;62.02A;;;93010
SOSAFE GMBH;91063895600011;910638956;62.02A;;;
;91063505100014;910635051;62.02A;;;13069
;91063492200017;910634922;62.02A;;;66172
;91063470800010;910634708;62.02A;;;06027
;91063463300010;910634633;62.02A;;;13201
;91063227200019;910632272;62.02A;;;57672
DIBOBOKI;91062440200012;910624402;62.02A;;;35238
ANTOINE BORIN DATA CONSULTING;91062146500012;910621465;62.02A;;;94080
YASLEAN;91059189000017;910591890;62.02A;;;94041
E-NOV.IT;91058446500017;910584465;62.02A;;;13091
ATLASMART SOLUTIONS;91057603200015;910576032;62.02A;;;33318
SEYANTES TECH;91057313800013;910573138;62.02A;;;78358
A112HORIZON;91057013400015;910570134;62.02A;;;92051
PGCONSEIL;91056976300014;910569763;62.02A;;;91386
MY CONSULTING;91057384900015;910573849;62.02A;;;75101
OHMCOOL;91057114000011;910571140;62.02A;;;75104
EXPERTNESS-IT;91057080300015;910570803;62.02A;;;95018
OFFENSIVE PROTECTION;91056676900014;910566769;62.02A;;;35210
HYRRA TECHNOLOGY;91055024300018;910550243;62.02A;;;78297
